,0,ADR
0,85.62101,0.0
1,52.59315,76.5
2,48.548515,68.0
3,52.696014,76.5
4,52.307716,76.5
5,53.479023,76.5
6,86.10726,58.67
7,56.501595,68.0
8,80.26425,76.5
9,80.26425,76.5
10,120.01754,86.0
11,115.88784,43.0
12,120.01754,86.0
13,77.29851,63.0
14,77.4379,86.0
15,67.20439,63.0
16,42.32172,63.0
17,120.01754,86.0
18,120.01754,86.0
19,42.32172,63.0
20,77.4379,86.0
21,38.40886,63.75
22,120.01754,86.0
23,120.01754,86.0
24,58.25603,76.5
25,120.59773,60.27
26,54.67961,68.0
27,69.534744,68.0
28,73.06642,76.5
29,98.34688,60.0
30,102.41319,55.8
31,77.4245,52.36
32,70.62096,49.74
33,64.72688,76.5
34,45.466377,68.0
35,52.953133,68.0
36,130.17932,93.6
37,63.54396,76.5
38,68.59528,76.5
39,69.62728,76.5
40,61.56201,76.5
41,65.36428,68.0
42,61.92369,68.0
43,71.7827,81.0
44,99.12024,76.08
45,63.109783,76.5
46,60.266518,76.5
47,41.974945,37.33
48,70.032135,76.5
49,71.7827,90.0
50,71.33777,45.0
51,62.1509,45.0
52,75.439835,76.5
53,120.28206,62.37
54,98.44655,48.6
55,98.44655,48.6
56,77.24547,48.6
57,110.72583,62.0
58,56.76178,76.5
59,96.33772,67.5
60,60.43656,76.5
61,98.3929,76.5
62,68.278786,76.5
63,89.43844,68.85
64,125.32954,68.85
65,78.031395,100.0
66,61.011063,76.5
67,96.18747,58.9
68,48.985977,63.75
69,63.72283,68.85
70,59.511467,76.5
71,47.518044,68.0
72,137.59315,106.25
73,69.46834,58.9
74,69.46834,58.9
75,78.94291,51.96
76,99.94849,75.0
77,78.94291,51.96
78,121.22842,104.0
79,69.07652,76.5
80,118.459114,94.5
81,118.459114,94.5
82,73.81913,76.5
83,70.576485,76.5
84,118.459114,94.5
85,88.915306,94.5
86,167.21548,138.5
87,99.62783,55.96
88,118.459114,94.5
89,118.459114,94.5
90,95.78154,72.5
91,88.915306,94.5
92,88.915306,94.5
93,118.459114,94.5
94,88.91529,94.5
95,95.78155,72.5
96,118.459114,94.5
97,88.915306,94.5
98,88.915306,94.5
99,118.459114,94.5
100,88.915306,94.5
101,99.62783,55.96
102,95.78154,72.5
103,98.45578,58.9
104,118.459114,94.5
105,118.459114,94.5
106,118.459114,94.5
107,118.459114,94.5
108,88.915306,94.5
109,70.576485,76.5
110,118.459114,94.5
111,88.915306,94.5
112,167.21548,138.5
113,118.459114,94.5
114,88.915306,94.5
115,88.915306,94.5
116,85.146355,76.5
117,85.810745,76.5
118,81.19634,63.75
119,86.12612,76.5
120,69.72226,76.5
121,86.12612,91.33
122,86.12612,76.5
123,93.65332,91.33
124,69.72226,76.5
125,86.12612,91.33
126,67.48824,76.5
127,82.084175,67.15
128,86.431564,76.5
129,72.51011,76.5
130,65.22111,76.5
131,75.42546,76.5
132,83.41612,76.5
133,95.90322,55.96
134,110.66548,0.0
135,87.23863,85.5
136,129.44116,89.25
137,116.19869,89.25
138,75.24042,76.5
139,258.21332,0.0
140,82.26315,68.0
141,72.82736,68.0
142,65.20528,76.5
143,64.62293,76.5
144,74.75316,76.5
145,82.67183,85.5
146,85.3515,76.5
147,78.16487,76.5
148,67.12747,52.36
149,89.452866,57.5
150,89.452866,57.5
151,141.0848,108.75
152,117.911995,75.0
153,117.911995,75.0
154,117.911995,75.0
155,117.911995,75.0
156,117.911995,75.0
157,117.911995,75.0
158,117.91199,75.0
159,89.452896,57.5
160,117.911995,75.0
161,117.911995,75.0
162,141.0848,108.75
163,117.911995,75.0
164,117.911995,75.0
165,117.911995,75.0
166,89.452866,0.0
167,141.0848,108.75
168,117.911995,75.0
169,89.452866,57.5
170,102.17064,94.5
171,94.72222,72.5
172,102.17064,94.5
173,130.24648,94.5
174,102.17064,94.5
175,102.17064,94.5
176,102.17064,94.5
177,102.17064,94.5
178,102.17064,94.5
179,130.24648,94.5
180,130.24648,94.5
181,102.17064,94.5
182,102.17064,94.5
183,130.24648,94.5
184,102.17064,94.5
185,102.17064,94.5
186,102.17064,94.5
187,102.17064,94.5
188,102.17064,94.5
189,102.17064,94.5
190,161.81293,138.5
191,102.17063,94.5
192,102.17064,94.5
193,102.17064,94.5
194,125.489944,62.0
195,125.489944,62.0
196,111.72588,0.0
197,83.64447,62.0
198,83.64447,62.0
199,83.64447,62.0
200,76.37682,68.0
201,83.64447,62.0
202,83.64447,62.0
203,109.395096,60.0
204,83.64447,62.0
205,83.64447,62.0
206,125.489944,62.0
207,125.489944,62.0
208,83.64447,62.0
209,83.64447,62.0
210,125.489944,62.0
211,125.489944,62.0
212,83.64447,62.0
213,83.64447,62.0
214,153.46953,84.0
215,83.64447,62.0
216,83.64447,62.0
217,125.489944,62.0
218,83.64447,62.0
219,125.489944,62.0
220,111.72588,0.0
221,83.64447,62.0
222,125.48995,62.0
223,125.48995,62.0
224,83.64447,62.0
225,131.04187,62.0
226,90.252785,85.5
227,95.06644,76.5
228,95.06644,76.5
229,82.37775,80.7
230,93.986435,76.5
231,81.23569,68.0
232,84.36272,76.5
233,137.23962,46.66
234,146.13802,104.0
235,131.6112,76.5
236,116.822426,55.08
237,109.23455,62.0
238,125.40279,62.0
239,157.40549,84.0
240,79.17729,62.0
241,79.17729,62.0
242,125.40279,62.0
243,84.571335,62.0
244,79.17729,62.0
245,79.17729,62.0
246,125.40279,62.0
247,84.571335,62.0
248,79.17729,62.0
249,125.40279,62.0
250,109.23455,62.0
251,94.16032,0.0
252,157.40549,84.0
253,109.23455,62.0
254,125.402794,62.0
255,79.17729,62.0
256,79.17729,62.0
257,125.40279,62.0
258,84.571335,62.0
259,94.16032,60.0
260,79.17729,62.0
261,79.17729,62.0
262,79.17729,62.0
263,125.40279,62.0
264,84.571335,62.0
265,118.58244,62.0
266,125.40279,62.0
267,72.7136,62.0
268,125.40279,62.0
269,84.571335,62.0
270,164.69788,84.0
271,143.04185,68.5
272,128.50633,76.5
273,96.41751,68.0
274,118.94974,76.5
275,102.22443,76.5
276,91.5037,76.5
277,93.01594,76.5
278,79.17729,62.0
